Country Name,Year,Employment Sector: Agriculture,Employment Sector: Industry,Employment Sector: Services,Unemployment Rate,GDP (in USD)
Albania,1991,53.2995330676931,12.1727641754533,34.5277805659366,10.304,1099559027.77778
Algeria,1991,24.1185662235876,25.0677339550744,50.813699821338,20.6,45715676428.2766
Angola,1991,40.0718566747821,8.16334539030656,51.7648217174873,16.855,10603784541.197
Argentina,1991,13.6699988790101,28.5059034987848,57.8240976222051,5.44,189719984268.485
Armenia,1991,54.263251767655,15.7904537656667,29.9462944666783,1.783,2069870129.87013
Australia,1991,5.3566516647831,24.2984539323905,70.3448814156819,9.586,325975319455.531
Austria,1991,7.36423057344609,33.3594766312852,59.2763218004069,3.42,173113449616.971
Azerbaijan,1991,43.8754733004811,22.9506323652547,33.173922756452,0.9,5344000000.0
"Bahamas, The",1991,5.25369706149147,15.3166948228656,79.4287759127186,12.17,3111160000.0
Bahrain,1991,2.43293905854697,28.5267348017775,69.0403261396755,1.051,5248911170.21277
Bangladesh,1991,64.1648330866696,12.5331727564515,23.3019913597621,2.2,30957483949.5798
Barbados,1991,5.52260355491386,20.1178467601896,74.3585741322459,22.323,2020583702.08323
Belarus,1991,22.223387508599,39.2527231828215,38.5238893085796,0.6,18404907975.4601
Belgium,1991,2.74976737930742,30.3592218527628,66.8910107679298,6.984,210510999409.333
Belize,1991,28.6128048780488,18.1421493902439,53.2450457317073,9.69,597100000.0
Benin,1991,55.7099609695461,16.8520560169542,27.4379340356431,1.64,1986437796.53053
Bhutan,1991,72.2594416934401,5.53828630057778,22.2022720059822,1.385,240294286.015925
Bolivia,1991,43.5213801644363,18.8084213423234,37.6701984932402,2.934,5343262457.10226
Bosnia and Herzegovina,1991,27.3464398682504,32.2347201876094,40.4188399441402,17.55,6122959183.67347
Botswana,1991,16.2151856336794,25.4329734882642,58.3515832324221,13.82,3942876703.45184
Brazil,1991,18.3238564747401,23.7959984942724,57.8801450309875,6.894,342534090909.091
Brunei Darussalam,1991,2.02755249416731,24.1584268414621,73.8149464874273,4.7,6284497300.38401
Bulgaria,1991,15.1983762857565,43.3427376374629,41.4589143802641,11.1,7628738475.37666
Burkina Faso,1991,89.2910199039216,3.35006213896425,7.35889333299516,2.477,3135045584.08387
Burundi,1991,91.9638214316595,2.45480192475131,5.58137664358922,3.158,1167398478.3459
Cabo Verde,1991,37.2159832854531,13.5012526237389,49.282764090808,13.535,319827058.592875
Cambodia,1991,78.5059849997458,4.2903438867349,17.2036711135193,0.781,2054974089.3643
Cameroon,1991,68.7533005956661,9.61201325625263,21.6347073567282,8.936,11840192296.3893
Canada,1991,3.49125696950289,23.8770925092864,72.6316505212107,10.316,612527712315.615
Central African Republic,1991,76.466865252057,7.32448795322041,16.2085510447756,5.334,1377374986.58709
Chad,1991,83.3996378318385,2.07496898379311,14.5253931843684,0.674,1877137981.75712
Chile,1991,19.0906383133293,26.3030340769339,54.6063483662064,5.23,38232330917.2011
China,1991,59.6998013213748,21.3998904523784,18.9003082262468,2.37,384510452961.672
Colombia,1991,20.30798842781,20.0168424193286,59.6751691528614,10.12,49637993948.8402
Comoros,1991,59.7100722206545,14.553872845661,25.7350097722593,4.805,424108769.502231
"Congo, Dem. Rep.",1991,72.2047860366892,8.08832156393704,19.70688545284,3.267,9625436872.51075
"Congo, Rep.",1991,45.1731081416509,23.1213489201232,31.7055429382258,19.917,2724853505.80336
Costa Rica,1991,18.2531920333713,26.3253129453246,55.4214950213041,5.37,7215725487.30549
Cote d'Ivoire,1991,54.6381381739065,11.8811067967332,33.4807302150704,6.603,10492628580.7484
Croatia,1991,22.6457280094307,30.0033919330632,47.3508800575062,11.14,18760386774.7973
Cuba,1991,24.9112786930337,24.2935681163378,50.7951781053454,8.311,24316556025.6585
Cyprus,1991,12.6278523105149,29.3469785575049,58.0251691319803,3.0,5770197348.48485
Czechia,1991,8.36800215440135,44.9684287438496,46.6635691017491,2.27,30071014282.3218
Denmark,1991,5.43949749649251,26.6125533504903,67.9479491530172,9.099,139180507777.691
Djibouti,1991,2.56790841057472,5.2375367177688,92.1935169135277,25.669,462421998.525779
Dominican Republic,1991,21.966476784502,26.6791570197464,51.3543661957516,6.907,9824483339.94518
Ecuador,1991,26.5653343388449,25.0836069321207,48.3510587290344,4.385,16988535267.6338
"Egypt, Arab Rep.",1991,37.7047880434708,24.8372709394162,37.4579341932332,9.38,37387836490.5284
El Salvador,1991,26.8104381230072,25.2781591410159,47.911346835828,7.53,5252342400.0
Equatorial Guinea,1991,68.6242327195089,7.65612489991994,23.7189751801441,7.25,110906028.536862
Eswatini,1991,20.3194885055505,25.2012689598537,54.4787537210928,20.684,1156135717.94598
Ethiopia,1991,77.7987427932206,6.48310858492473,15.7181585856895,3.264,13799799323.6715
Fiji,1991,17.6957591758971,16.8481063113204,65.4565001956403,4.633,1383883249.591
Finland,1991,8.35557636060067,28.7623686710449,62.8820966154643,6.503,127794441993.824
France,1991,5.72833414116634,28.3223315257714,65.9493343330623,9.134,1258961748633.88
